g,C,Q,N_B,D_B,L,s_Q,s_attn,s_train,n_local,shape,loc_Q,active
指数型,1.7782794100389228e+21,0.9999999777760276,2.5801359550768717,76.22424188542354,2.3150482249792383,0.15523074057140368,0.18119893624945174,0.6635703231791445,0,单调下降（上角点 $Q=1$）,[],True
指数型,2.3713737056616553e+21,0.9999999777760276,2.8826726497443955,92.48556257644945,2.286132193633443,0.14124027628655442,0.1841998234358124,0.6745599002776334,0,单调下降（上角点 $Q=1$）,[],True
指数型,3.1622776601683794e+21,0.9999999777760276,3.2255443876690877,111.90153649556049,2.258728794112582,0.12815060639252412,0.18700749456515614,0.6848418990423197,0,单调下降（上角点 $Q=1$）,[],True
指数型,4.2169650342858226e+21,0.9999999777760276,3.6144177157488255,135.0300090372486,2.2327389077401585,0.11596179052023287,0.1896219368469379,0.6944162726328292,0,单调下降（上角点 $Q=1$）,[],True
指数型,5.623413251903491e+21,0.9999999777760276,4.055752043348185,162.52205388368515,2.208071496105971,0.10466390107298508,0.19204527970282012,0.7032908192241948,0,单调下降（上角点 $Q=1$）,[],True
指数型,7.498942093324559e+21,0.9999999777760276,4.556908288340852,195.13780441264106,2.1846429179730382,0.09423799336880992,0.19428158667581455,0.7114804199553755,0,单调下降（上角点 $Q=1$）,[],True
指数型,1e+22,0.9999999777760276,5.12627254563897,233.76508546841112,2.162376291351946,0.08465727058539599,0.19633660555520624,0.7190061238593978,0,单调下降（上角点 $Q=1$）,[],True
指数型,1.3335214321633241e+22,0.9999999777760276,5.773396932268984,279.44131768030155,2.14120089938551,0.0758883720163651,0.19821749205178932,0.7258941359318457,0,单调下降（上角点 $Q=1$）,[],True
指数型,1.7782794100389228e+22,0.9999999777760276,6.509160040216611,333.3792426553617,2.121051638872504,0.06789271424478653,0.19993252212260967,0.7321747636326038,0,单调下降（上角点 $Q=1$）,[],True
指数型,2.371373705661655e+22,0.9999999777760276,7.345949770181069,396.9971070991352,2.1018685103011507,0.060627820742610576,0.2014908067782922,0.7378813724790974,0,单调下降（上角点 $Q=1$）,[],True
指数型,3.1622776601683792e+22,0.9999999777760276,8.29787168450372,471.9540516069158,2.0835961481899385,0.054048585745053106,0.2029020209880741,0.7430493932668729,0,单调下降（上角点 $Q=1$）,[],True
指数型,4.2169650342858225e+22,0.9999999777760276,9.380986083708544,560.1915976784159,2.0661833903798477,0.04810843246204577,0.20417615524902916,0.7477154122889251,0,单调下降（上角点 $Q=1$）,[],True
指数型,5.623413251903491e+22,0.9999999777760276,10.613580131707385,663.9821278829306,2.04958288472405,0.042760325805816964,0.2053232983608805,0.7519163758333025,0,单调下降（上角点 $Q=1$）,[],True
指数型,7.498942093324558e+22,0.9999999777760276,12.016473638831572,785.985896166455,2.0337507314114336,0.03795765453744865,0.20635344820981413,0.7556888972527371,0,单调下降（上角点 $Q=1$）,[],True
指数型,1.0000000000000001e+23,0.9999999777760276,13.613372010880353,929.3175178302697,2.018646158965956,0.033654933716496735,0.20727636109641964,0.7590687051870836,0,单调下降（上角点 $Q=1$）,[],True
指数型,1.3335214321633241e+23,0.9999999777760276,15.43126730345701,1097.6238480966094,2.004231231804502,0.029808364636215532,0.2081014316322822,0.7620902037315023,0,单调下降（上角点 $Q=1$）,[],True
