model,date,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,IFEval_se,BBH_se,MATH Lvl 5_se,GPQA_se,MUSR_se,MMLU-PRO_se,C8_mean6
hotmailuser__QwenStock-1.7B,2025-01-08,0.24953789279112754,0.4160735983336226,0.08006042296072508,0.27455357142857145,0.44047619047619047,0.2954621010638298,0.018622404509805804,0.006100945974775779,0.007223393398991403,0.021108747290633768,0.017862444713115256,0.004159606110018825,0.2926939628423445
hotmailuser__QwenStock1-14B,2025-01-08,0.6192236598890942,0.6490192674882833,0.32779456193353473,0.3794642857142857,0.4775132275132275,0.5416389627659575,0.020895937888190826,0.005830276543611648,0.01212820165162157,0.022951711861293297,0.018057864547425917,0.004542635936335336,0.49910899421739713
HPAI-BSC__Llama3-Aloe-8B-Alpha,2024-10-29,0.4454713493530499,0.48134004513105366,0.05362537764350453,0.34375,0.3664021164021164,0.3295378989361702,0.02138823777906318,0.006147432735645515,0.006111486353473086,0.02246478414865448,0.016894996547036484,0.004285376045513392,0.3366877979109824
HPAI-BSC__Llama3.1-Aloe-Beta-8B,2024-11-06,0.55637707948244,0.5146675924318694,0.14577039274924472,0.35044642857142855,0.3835978835978836,0.3829787234042553,0.02137936114959639,0.0062479764236006916,0.00918341529914899,0.02256651759785536,0.017212206876454694,0.004431865075361142,0.3889730167061869
HPAI-BSC__Qwen2.5-Aloe-Beta-7B,2024-12-18,0.4011090573012939,0.5004339524388127,0.08459214501510574,0.29464285714285715,0.4246031746031746,0.4354222074468085,0.021091536895520756,0.006179066945049241,0.007361028422816556,0.021562481080109767,0.017342587981055386,0.004520290228263163,0.35680056565800883
HuggingFaceH4__zephyr-7b-alpha,2024-06-16,,0.4556500607533414,0.019637462235649546,,,,,0.006187984817528195,,,,,0.23764376149449548
HuggingFaceH4__zephyr-7b-beta,2024-06-16,0.43253234750462105,0.43065440027772955,0.028700906344410877,0.3125,0.3915343915343915,0.2780917553191489,0.021319792398178068,0.006063787912967502,0.004178427769839759,0.021923384489444957,0.017185964366906635,0.004084926006142637,0.31233563349671695
HuggingFaceH4__zephyr-7b-gemma-v0.1,2024-06-16,,0.4620725568477695,,,,,,0.006213761419066911,,,,,0.4620725568477695
HuggingFaceH4__zephyr-orpo-141b-A35b-v0.1,2024-06-15,0.600739371534196,0.6269744835965978,0.20468277945619334,0.359375,0.44576719576719576,0.4586103723404255,0.02107533133270135,0.00557574888827374,0.010090847456059707,0.022694577961439925,0.01789431774147043,0.0045428253286660305,0.4493582004491014
HuggingFaceTB__SmolLM-1.7B,2024-07-18,0.17375231053604437,0.3155702135045999,0.01661631419939577,0.22767857142857142,0.3412698412698413,0.11477726063829788,0.016305102877651505,0.005798735967881207,0.0023767403390627315,0.0198338196436619,0.016730775526954553,0.0029060517579302912,0.1982774185961251
HuggingFaceTB__SmolLM-1.7B-Instruct,2024-07-18,0.18299445471349354,0.2848463808366603,0.021148036253776436,0.2700892857142857,0.3478835978835979,0.11660571808510638,0.016639282183680777,0.0056165854673438115,0.0,0.02100074907882238,0.016921158266577654,0.002926081055699204,0.20392791224782003
HuggingFaceTB__SmolLM-135M,2024-07-18,0.15157116451016636,0.3008158305849679,0.013595166163141994,0.27232142857142855,0.4351851851851852,0.11220079787234043,0.015431890177258214,0.005643471773317636,0.002256388001874922,0.021055082129324172,0.01744823047513195,0.002877428126207265,0.21428159548120507
HuggingFaceTB__SmolLM-135M-Instruct,2024-10-12,0.066543438077634,0.29838569692761674,0.005287009063444109,0.24553571428571427,0.36243386243386244,0.11760305851063829,0.010725135665760476,0.005699792353665563,0.0,0.020357428454484575,0.01711631789512755,0.0029369086742443355,0.18263146321648496
HuggingFaceTB__SmolLM-360M,2024-07-18,0.14972273567467653,0.3027252213157438,0.011329305135951661,0.27455357142857145,0.4007936507936508,0.11236702127659574,0.015354203073785802,0.0056926405517257715,0.0018413622643738575,0.021108747290633865,0.017517771642448162,0.002879289181870704,0.20858191760419834
HuggingFaceTB__SmolLM-360M-Instruct,2024-07-18,0.13493530499075784,0.2848463808366603,0.01812688821752266,0.27455357142857145,0.34656084656084657,0.11660571808510638,0.01470246694201782,0.0056165854673438115,0.0,0.02110874729063386,0.016998341016225865,0.002926081055699204,0.19593811835324418
HuggingFaceTB__SmolLM2-1.7B,2024-11-06,0.17744916820702403,0.3428224266620378,0.026435045317220542,0.296875,0.3478835978835979,0.2137632978723404,0.01644074437969973,0.005861369123127891,0.003926568589848221,0.021609729061250887,0.016731649912646706,0.003737596063433757,0.23420475599037013
HuggingFaceTB__SmolLM2-1.7B-Instruct,2024-12-18,0.4824399260628466,0.3567089047040444,0.0581570996978852,0.2700892857142857,0.3412698412698413,0.2053690159574468,0.02150330051338897,0.005942571083522873,0.005375502897618259,0.021000749078822437,0.016509487769395148,0.003682979870065522,0.285672345567725
HuggingFaceTB__SmolLM2-135M,2024-11-06,0.12014787430683918,,0.012084592145015106,0.2767857142857143,,0.10945811170212766,0.013991555826864734,,,0.021161749643954904,,0.0028464285614099045,0.12961907310992404
HuggingFaceTB__SmolLM2-135M-Instruct,2024-11-14,0.036968576709796676,0.3105363652143725,0.014350453172205438,0.23660714285714285,0.3862433862433862,0.10920877659574468,0.00811969496848256,0.00568818987706758,0.0010678415675519596,0.020101765858195734,0.017367046667638785,0.0028435827586009346,0.18231911679877477
HuggingFaceTB__SmolLM2-360M,2024-11-06,0.1423290203327172,0.3214719666724527,0.012084592145015106,0.25223214285714285,0.3941798941798942,0.11693816489361702,0.015035234562202739,0.00577955678760345,0.00151087052926229,0.02054139101648796,0.017329858672608882,0.0029296978438028212,0.2065392968468065
HuggingFaceTB__SmolLM2-360M-Instruct,2024-11-19,0.3234750462107209,0.31227217496962334,0.015105740181268883,0.29910714285714285,0.34523809523809523,0.11170212765957446,0.020131003392118964,0.005741303020855684,0.0022533998053807978,0.021656359273377022,0.016721567915769644,0.002871832924879995,0.2344833878527376
huihui-ai__DeepSeek-R1-Distill-Qwen-14B-abliterated-v2,2025-01-29,0.35304990757855825,0.3462940461725395,0.0,0.26785714285714285,0.46825396825396826,0.19148936170212766,0.020566318668824704,0.006021467961961451,0.0,0.02094574294163546,0.017054158985262344,0.003587272198116032,0.2711574044273894
