model_dir,n_tasks,mean_all,ifeval,bbh,math,gpqa,musr,mmlu_pro
DreadPoor_Promissum_Mane-8B-LINEAR-lorablated,44,43.58484874605927,73.26715337526652,54.34960803287674,13.771780824379354,30.226808810596562,41.967179232804234,37.39195478723404
DreadPoor_RPMash-8B-Model_Stock,44,40.37613979213214,46.516797652451054,51.68052932200855,9.615175275087914,29.03285979261231,40.522172619047616,36.03723404255319
DreadPoor_RPMash_V3-8B-Model_Stock,44,41.142778382635804,73.10979312668164,52.17052432252287,9.741016622060684,30.141095097575803,37.755853174603175,36.13696808510639
DreadPoor_Rusted_Gold-8B-LINEAR,44,43.99843915754245,74.8620881483353,53.85657235099933,17.461310669794976,30.34985294580513,41.74791666666666,37.799202127659576
DreadPoor_Rusted_Platinum-8B-LINEAR,44,43.568230363819644,73.79048701888766,54.27313305373321,15.822083482585434,28.821368264006686,39.63756613756614,37.30053191489361
DreadPoor_Rusted_Platinum-8B-Model_Stock,44,40.215901108312266,45.29282304285962,52.42256901468233,9.306842110013921,26.830873265437027,37.38008432539682,35.46376329787234
DreadPoor_Sellen-8B-model_stock,44,41.58210027803555,73.89914316236474,52.31335397461705,12.325603452325392,27.015668196456787,39.59069113756614,35.696476063829785
DreadPoor_Something-8B-Model_Stock,44,43.45687628956586,50.59719322508721,53.9453803769558,16.111011276453212,32.11976286902881,41.855204199735454,38.85472074468085
DreadPoor_Spring_Dusk-8B-SCE,44,43.497425728597804,66.53146983337544,56.346131507236386,6.719404431774542,28.938670331812112,45.97330522486772,34.358377659574465
DreadPoor_Summer_Dawn-8B-SCE,44,43.525976015014066,68.23007398148025,53.90223586887897,15.802697210754262,30.462995419476123,41.18751653439154,37.53324468085106
DreadPoor_Summer_Dusk-8B-TIES,44,43.27349823414677,49.630480458516736,53.59058404716437,16.51383862577273,31.127983104702906,42.64892939814815,38.55551861702128
DreadPoor_Summer_Rain-8B-SCE,44,44.4564510024783,56.14380953647433,58.45611609543301,6.364302871289099,30.096253601916356,44.756936177248676,35.505319148936174
DreadPoor_Summer_Rain-8B-TIES,44,44.45471948565849,56.067622796402425,58.45611609543301,6.364302871289099,30.096253601916356,44.756936177248676,35.505319148936174
DreadPoor_Sun-8B-Model_Stock,44,43.5169475035251,79.10483073799742,52.62656392265579,18.58903410801869,30.326122539838984,40.949503968253964,38.347739361702125
DreadPoor_Sweetened_Condensed_Milk-8B-Model_Stock,44,43.93049683336427,75.70889683816718,54.05554276993345,16.542183703323808,30.46226325641175,41.05210400132275,38.48071808510639
